
央视频道,#genre#
CCTV-16-4K,http://222.85.69.145/PLTV/88888888/224/3221227205/10000100000000060000000002601585_0.smil/index.m3u8?fmt=ts2hls
CCTV-十七套,http://222.85.69.145/PLTV/88888888/224/3221226551/10000100000000060000000000416344_0.smil/index.m3u8?fmt=ts2hls
CCTV-5+,http://222.85.69.145/PLTV/88888888/224/3221226583/10000100000000060000000000527265_0.smil/index.m3u8?fmt=ts2hls
中国教育-1,http://222.85.69.145/PLTV/88888888/224/3221226416/10000100000000060000000000398818_0.smil/index.m3u8?fmt=ts2hls


河南卫视,http://222.85.69.145/PLTV/88888888/224/3221226400/10000100000000060000000000427502_0.smil/index.m3u8?fmt=ts2hls
都市频道,http://222.85.69.145/PLTV/88888888/224/3221226403/10000100000000060000000000427507_0.smil/index.m3u8?fmt=ts2hls
民生频道,http://222.85.69.145/PLTV/88888888/224/3221226406/10000100000000060000000000427509_0.smil/index.m3u8?fmt=ts2hls
法治频道,http://222.85.69.145/PLTV/88888888/224/3221226409/10000100000000060000000000427515_0.smil/index.m3u8?fmt=ts2hls
电视剧频道,http://222.85.69.145/PLTV/88888888/224/3221226412/10000100000000060000000000427558_0.smil/index.m3u8?fmt=ts2hls
新闻频道,http://222.85.69.145/PLTV/88888888/224/3221226415/10000100000000060000000000427594_0.smil/index.m3u8?fmt=ts2hls
公共频道,http://222.85.69.145/PLTV/88888888/224/3221226562/10000100000000060000000000428997_0.smil/index.m3u8?fmt=ts2hls
乡村频道,http://222.85.69.145/PLTV/88888888/224/3221226632/10000100000000060000000000430974_0.smil/index.m3u8?fmt=ts2hls
国际频道,http://222.85.69.145/PLTV/88888888/224/3221226635/10000100000000060000000000430975_0.smil/index.m3u8?fmt=ts2hls
睛彩中原,http://222.85.69.145/PLTV/88888888/224/3221226668/10000100000000060000000000982550_0.smil/index.m3u8?fmt=ts2hls
移动戏曲,http://222.85.69.145/PLTV/88888888/224/3221226577/10000100000000060000000000489636_0.smil/index.m3u8?fmt=ts2hls
文物宝库,http://222.85.69.145/PLTV/88888888/224/3221226541/10000100000000060000000000429019_0.smil/index.m3u8?fmt=ts2hls
梨园频道,http://222.85.69.145/PLTV/88888888/224/3221226544/10000100000000060000000000429017_0.smil/index.m3u8?fmt=ts2hls
武术世界,http://222.85.69.145/PLTV/88888888/224/3221226568/10000100000000060000000000429030_0.smil/index.m3u8?fmt=ts2hls
美食汇,http://222.85.69.145/PLTV/88888888/224/3221226644/10000100000000060000000000430982_0.smil/index.m3u8?fmt=ts2hls
棋牌汇,http://222.85.69.145/PLTV/88888888/224/3221226647/10000100000000060000000000430983_0.smil/index.m3u8?fmt=ts2hls
调解剧场,http://222.85.69.145/PLTV/88888888/224/3221226638/10000100000000060000000000430976_0.smil/index.m3u8?fmt=ts2hls
国学频道,http://222.85.69.145/PLTV/88888888/224/3221227059/10000100000000060000000001785209_0.smil/index.m3u8?fmt=ts2hls
欢腾购物,http://222.85.69.145/PLTV/88888888/224/3221227062/10000100000000060000000001785298_0.smil/index.m3u8?fmt=ts2hls
浙江卫视,http://222.85.69.145/PLTV/88888888/224/3221226586/10000100000000060000000000527296_0.smil/index.m3u8?fmt=ts2hls
东方卫视,http://222.85.69.145/PLTV/88888888/224/3221226592/10000100000000060000000000527306_0.smil/index.m3u8?fmt=ts2hls
江苏卫视,http://222.85.69.145/PLTV/88888888/224/3221226595/10000100000000060000000000527324_0.smil/index.m3u8?fmt=ts2hls
北京卫视,http://222.85.69.145/PLTV/88888888/224/3221226410/10000100000000060000000000398814_0.smil/index.m3u8?fmt=ts2hls
广东卫视,http://222.85.69.145/PLTV/88888888/224/3221226505/10000100000000060000000000428951_0.smil/index.m3u8?fmt=ts2hls
黑龙江卫视,http://222.85.69.145/PLTV/88888888/224/3221226502/10000100000000060000000000428953_0.smil/index.m3u8?fmt=ts2hls
山东卫视,http://222.85.69.145/PLTV/88888888/224/3221226422/10000100000000060000000000398835_0.smil/index.m3u8?fmt=ts2hls
安徽卫视,http://222.85.69.145/PLTV/88888888/224/3221226407/10000100000000060000000000398811_0.smil/index.m3u8?fmt=ts2hls
辽宁卫视,http://222.85.69.145/PLTV/88888888/224/3221226491/10000100000000060000000000400017_0.smil/index.m3u8?fmt=ts2hls
陕西卫视,http://222.85.69.145/PLTV/88888888/224/3221226434/10000100000000060000000000398848_0.smil/index.m3u8?fmt=ts2hls
贵州卫视,http://222.85.69.145/PLTV/88888888/224/3221226425/10000100000000060000000000398838_0.smil/index.m3u8?fmt=ts2hls
